54826008;91396090;10617331
29391834;42277898;11011603
80885290;39211275;11732446
36848727;68199588;12059064
24894060;40612248;12492792
21147827;15142143;12844929
64237880;26623192;13284901
33932653;19828857;13512109
80264507;40528283;13721653
33446276;33262991;14365793
24376522;41092608;14779641
17872391;19735565;15370083
78602195;24985482;15387907
49646583;29417544;15403111
91822978;39117112;15722844
26001790;42647763;15915825
88140017;37196366;15933065
23560977;13632906;16327231
13496889;81441492;17530069
10868420;80209710;17566755
33366691;34106334;17940293
38791662;37282468;18863463
34110512;14735955;19126474
28667597;23593392;20467965
23028012;42119072;21207641
30045165;37667237;21927912
26726165;20125393;21970881
23711491;35669447;22548078
13933133;16472822;22879431
25596811;17736027;25485563
18219786;35017292;26488169
34354643;32744904;26709131
30058659;37010665;26777383
24551318;33367332;27165794
25687242;79356295;27260463
37314042;81303794;27644491
22933729;50917604;27778487
22212455;18961952;27807494
26741405;19109607;28155193
17029097;44083924;29378411
91974519;42607967;29997955
14339376;17072437;30028437
26540561;29058056;30582308
15496992;14777936;30582308
32692662;16167149;30599743
70144904;24320848;30841764
12337078;33305676;31598448
11734630;28006693;32213206
31549116;12732431;32607881
14924172;33519514;32613362
10259613;30615155;33172847
28583547;95611505;33289693
23417282;28069346;33881607
58758024;27599715;34329945
85886432;71454202;35644303
80936999;11029672;35777640
26214220;12345604;35973342
45351951;33991129;37070148
80857382;32692462;37976887
17728143;29020420;38001293
15209597;16503833;38529801
34242809;28981360;38784933
41607579;12644759;38819258
35002585;44437976;39043404
24553640;18001048;39055811
18243875;40129423;40853522
12075060;37296846;40961513
22682923;39871229;41238361
31602017;37911327;41918144
12916745;30227344;42203689
14341924;30803580;63098711
15499710;27136034;67542759
19768306;38936002;68862527
97600522;37343203;69836911
31218463;39370625;72245447
32386927;28420972;73965027
28379655;97169054;82979551
60135246;32038755;84066171
10137022;14067041;85743798
13944880;26308151;97928058
